0.0197,-0.2546,0.9572,	-4.55,-27.18,-73.16,	1.53,-4.88,-3.66	0.3846,	-46180.220649,-14.000000,	16:14:43:30
0.0189,-0.2549,0.9604,	-4.55,-27.18,-73.16,	1.40,-4.82,-3.66	0.3942,	53.143057,-1.450681,	16:14:43:40
0.0190,-0.2538,0.9609,	-4.82,-27.18,-73.16,	1.40,-4.94,-3.66	0.4038,	53.143057,-1.450681,	16:14:43:40
0.0188,-0.2551,0.9606,	-4.82,-27.18,-73.16,	1.40,-4.88,-3.72	0.4135,	53.143057,-1.450681,	16:14:43:40
0.0197,-0.2551,0.9585,	-4.55,-26.91,-72.96,	1.53,-4.88,-3.72	0.4231,	53.143057,-1.450681,	16:14:43:50
0.0182,-0.2543,0.9583,	-4.55,-26.91,-72.96,	1.40,-4.88,-3.66	0.4327,	53.143057,-1.450681,	16:14:43:50
0.0198,-0.2545,0.9592,	-4.91,-26.91,-73.16,	1.40,-4.82,-3.60	0.4423,	53.143057,-1.450681,	16:14:43:50
0.0192,-0.2552,0.9636,	-4.91,-26.91,-73.16,	1.34,-4.88,-3.66	0.4519,	53.143057,-1.450681,	16:14:43:60
0.0201,-0.2548,0.9629,	-4.64,-27.27,-73.16,	1.40,-4.88,-3.60	0.4615,	53.143057,-1.450681,	16:14:43:60
0.0194,-0.2560,0.9623,	-4.64,-27.27,-73.16,	1.34,-4.82,-3.66	0.4712,	53.143057,-1.450682,	16:14:43:70
0.0197,-0.2556,0.9585,	-4.73,-27.09,-73.16,	1.46,-4.88,-3.66	0.4808,	53.143057,-1.450682,	16:14:43:70
0.0201,-0.2552,0.9612,	-4.73,-27.09,-73.16,	1.34,-4.70,-3.66	0.4904,	53.143057,-1.450682,	16:14:43:70
0.0204,-0.2548,0.9598,	-4.73,-27.00,-73.27,	1.40,-4.88,-3.72	0.5000,	53.143057,-1.450682,	16:14:43:80
0.0197,-0.2549,0.9594,	-4.45,-26.55,-73.06,	1.40,-4.82,-3.66	0.5096,	53.143057,-1.450682,	16:14:43:80
0.0195,-0.2548,0.9601,	-4.45,-26.55,-73.06,	1.34,-4.82,-3.60	0.5192,	53.143057,-1.450682,	16:14:43:80
0.0189,-0.2565,0.9580,	-4.82,-27.09,-73.16,	1.40,-4.76,-3.66	0.5288,	53.143057,-1.450682,	16:14:43:90
0.0193,-0.2539,0.9532,	-4.82,-27.09,-73.16,	1.46,-4.82,-3.66	0.5385,	53.143057,-1.450682,	16:14:43:90
0.0192,-0.2540,0.9576,	-4.73,-27.09,-73.06,	1.46,-4.88,-3.66	0.5481,	53.143057,-1.450682,	16:14:43:90
0.0201,-0.2548,0.9536,	-4.73,-27.09,-73.06,	1.40,-4.88,-3.60	0.5577,	53.143057,-1.450683,	16:14:44:0
0.0190,-0.2546,0.9565,	-4.82,-27.18,-73.16,	1.40,-4.82,-3.66	0.5769,	53.143057,-1.450683,	16:14:44:10
0.0193,-0.2550,0.9573,	-4.82,-27.18,-73.16,	1.40,-4.76,-3.66	0.5865,	53.143057,-1.450683,	16:14:44:20
0.0189,-0.2562,0.9565,	-4.64,-27.09,-73.16,	1.34,-4.82,-3.66	0.5962,	53.143057,-1.450683,	16:14:44:20
0.0194,-0.2542,0.9518,	-4.64,-27.09,-73.16,	1.46,-4.82,-3.78	0.6058,	53.143057,-1.450683,	16:14:44:30
0.0198,-0.2573,0.9500,	-4.64,-27.18,-73.16,	1.40,-4.88,-3.66	0.6154,	53.143057,-1.450683,	16:14:44:30
0.0190,-0.2555,0.9490,	-4.64,-27.18,-73.16,	1.53,-4.82,-3.66	0.6250,	53.143057,-1.450683,	16:14:44:30
0.0189,-0.2556,0.9504,	-4.55,-27.09,-73.27,	1.40,-4.82,-3.66	0.6346,	53.143057,-1.450684,	16:14:44:40
0.0200,-0.2538,0.9482,	-4.55,-27.09,-73.27,	1.34,-4.82,-3.72	0.6442,	53.143057,-1.450684,	16:14:44:40
0.0186,-0.2552,0.9503,	-4.55,-27.00,-72.96,	1.34,-4.76,-3.72	0.6538,	53.143057,-1.450684,	16:14:44:40
0.0181,-0.2531,0.9502,	-4.55,-27.00,-72.96,	1.46,-4.88,-3.72	0.6635,	53.143057,-1.450684,	16:14:44:50
0.0198,-0.2548,0.9502,	-4.73,-27.18,-73.27,	1.46,-4.82,-3.72	0.6731,	53.143057,-1.450684,	16:14:44:50
0.0192,-0.2550,0.9496,	-4.73,-27.18,-73.27,	1.46,-4.88,-3.72	0.6827,	53.143057,-1.450684,	16:14:44:50
0.0186,-0.2535,0.9513,	-4.73,-27.00,-73.27,	1.40,-4.76,-3.60	0.6923,	53.143057,-1.450684,	16:14:44:60
0.0192,-0.2556,0.9528,	-4.82,-26.64,-73.06,	1.46,-4.82,-3.60	0.7019,	53.143057,-1.450684,	16:14:44:60
0.0187,-0.2560,0.9525,	-4.82,-26.64,-73.06,	1.34,-4.82,-3.60	0.7115,	53.143057,-1.450684,	16:14:44:60
0.0184,-0.2551,0.9493,	-4.64,-26.91,-72.96,	1.53,-4.94,-3.72	0.7212,	53.143057,-1.450685,	16:14:44:70
0.0193,-0.2542,0.9524,	-4.64,-26.91,-72.96,	1.40,-4.82,-3.66	0.7308,	53.143057,-1.450685,	16:14:44:70
0.0197,-0.2537,0.9481,	-4.73,-27.36,-73.16,	1.40,-4.88,-3.72	0.7404,	53.143057,-1.450685,	16:14:44:70
0.0182,-0.2555,0.9543,	-4.73,-27.36,-73.16,	1.40,-4.82,-3.72	0.7500,	53.143057,-1.450685,	16:14:44:80
0.0189,-0.2537,0.9554,	-4.91,-27.09,-73.06,	1.46,-4.88,-3.72	0.7692,	53.143057,-1.450685,	16:14:44:90
0.0192,-0.2550,0.9574,	-4.64,-27.09,-73.16,	1.40,-4.82,-3.66	0.7788,	53.143057,-1.450685,	16:14:44:90
0.0181,-0.2534,0.9553,	-4.64,-27.09,-73.16,	1.40,-4.82,-3.66	0.7885,	53.143057,-1.450685,	16:14:44:90
0.0192,-0.2556,0.9575,	-4.82,-27.27,-73.06,	1.28,-4.76,-3.72	0.7981,	53.143057,-1.450685,	16:14:45:0
0.0178,-0.2543,0.9563,	-4.82,-27.27,-73.06,	1.46,-4.82,-3.66	0.8077,	53.143057,-1.450685,	16:14:45:0
0.0184,-0.2552,0.9583,	-4.36,-27.00,-73.27,	1.40,-4.76,-3.72	0.8173,	53.143057,-1.450685,	16:14:45:0
0.0192,-0.2545,0.9573,	-4.36,-27.00,-73.27,	1.46,-4.82,-3.66	0.8269,	53.143057,-1.450685,	16:14:45:10
0.0188,-0.2550,0.9572,	-4.73,-27.00,-73.06,	1.40,-4.82,-3.66	0.8365,	53.143057,-1.450685,	16:14:45:10
0.0190,-0.2551,0.9554,	-4.73,-27.00,-73.06,	1.46,-4.82,-3.66	0.8462,	53.143057,-1.450685,	16:14:45:10
0.0190,-0.2545,0.9608,	-4.36,-26.91,-73.06,	1.40,-4.88,-3.72	0.8558,	53.143057,-1.450685,	16:14:45:20
0.0205,-0.2551,0.9548,	-4.36,-26.91,-73.06,	1.53,-4.70,-3.60	0.8654,	53.143057,-1.450685,	16:14:45:20
0.0189,-0.2542,0.9526,	-4.82,-26.82,-73.06,	1.46,-4.82,-3.60	0.8750,	53.143057,-1.450686,	16:14:45:30
0.0208,-0.2561,0.9525,	-4.82,-26.82,-73.06,	1.34,-4.88,-3.60	0.8846,	53.143057,-1.450686,	16:14:45:30
0.0192,-0.2544,0.9530,	-4.73,-26.82,-73.27,	1.40,-4.70,-3.72	0.8942,	53.143057,-1.450686,	16:14:45:30
0.0199,-0.2560,0.9507,	-4.45,-26.91,-72.96,	1.40,-4.88,-3.72	0.9038,	53.143057,-1.450686,	16:14:45:40
0.0192,-0.2556,0.9518,	-4.45,-26.91,-72.96,	1.46,-4.94,-3.66	0.9135,	53.143057,-1.450686,	16:14:45:40
0.0192,-0.2528,0.9525,	-5.09,-27.09,-73.16,	1.46,-4.82,-3.66	0.9231,	53.143057,-1.450686,	16:14:45:40
0.0186,-0.2557,0.9542,	-5.09,-27.09,-73.16,	1.40,-4.76,-3.60	0.9327,	53.143057,-1.450686,	16:14:45:50
0.0188,-0.2545,0.9510,	-4.82,-26.91,-73.16,	1.34,-4.76,-3.66	0.9423,	53.143057,-1.450686,	16:14:45:50
0.0177,-0.2545,0.9508,	-4.64,-27.09,-72.96,	1.40,-4.76,-3.66	0.9615,	53.143057,-1.450686,	16:14:45:60
0.0187,-0.2552,0.9523,	-4.64,-27.09,-72.96,	1.40,-4.82,-3.66	0.9712,	53.143057,-1.450686,	16:14:45:60
0.0212,-0.2566,0.9404,	-4.82,-26.64,-73.47,	1.46,-4.88,-3.66	0.9808,	53.143057,-1.450686,	16:14:45:60
0.0179,-0.2545,0.9432,	-4.82,-26.64,-73.47,	1.40,-4.88,-3.66	0.9904,	53.143057,-1.450686,	16:14:45:70
0.0179,-0.2542,0.9414,	-4.73,-27.00,-73.16,	1.40,-4.70,-3.60	1.0000,	53.143057,-1.450686,	16:14:45:70
0.0190,-0.2550,0.9404,	-4.73,-27.00,-73.16,	1.40,-4.82,-3.66	1.0096,	53.143057,-1.450686,	16:14:45:70
0.0195,-0.2546,0.9465,	-4.55,-26.91,-73.47,	1.59,-4.82,-3.72	1.0192,	53.143056,-1.450686,	16:14:45:80
0.0199,-0.2556,0.9504,	-4.55,-26.91,-73.47,	1.40,-4.82,-3.72	1.0288,	53.143056,-1.450686,	16:14:45:80
0.0199,-0.2544,0.9474,	-4.64,-27.09,-72.96,	1.46,-4.82,-3.72	1.0385,	53.143056,-1.450686,	16:14:45:90
0.0190,-0.2554,0.9496,	-4.64,-27.09,-72.96,	1.34,-4.82,-3.72	1.0481,	53.143056,-1.450686,	16:14:45:90
0.0190,-0.2537,0.9498,	-4.64,-27.09,-73.06,	1.34,-4.82,-3.72	1.0577,	53.143056,-1.450686,	16:14:45:90
0.0188,-0.2532,0.9458,	-4.64,-27.09,-73.06,	1.34,-4.82,-3.66	1.0673,	53.143056,-1.450687,	16:14:46:0
0.0200,-0.2560,0.9407,	-4.64,-27.09,-72.76,	1.46,-4.82,-3.66	1.0769,	53.143056,-1.450687,	16:14:46:0
0.0199,-0.2568,0.9462,	-4.64,-27.09,-72.76,	1.40,-4.82,-3.66	1.0865,	53.143056,-1.450687,	16:14:46:0
0.0194,-0.2537,0.9413,	-4.91,-27.27,-73.06,	1.46,-4.88,-3.66	1.0962,	53.143056,-1.450687,	16:14:46:10
0.0186,-0.2549,0.9514,	-4.73,-26.82,-73.16,	1.34,-4.76,-3.60	1.1058,	53.143056,-1.450687,	16:14:46:10
0.0192,-0.2544,0.9470,	-4.73,-26.82,-73.16,	1.40,-4.82,-3.66	1.1154,	53.143056,-1.450687,	16:14:46:10
0.0194,-0.2544,0.9426,	-4.64,-26.82,-73.16,	1.40,-4.82,-3.72	1.1250,	53.143056,-1.450687,	16:14:46:20
0.0201,-0.2563,0.9417,	-4.64,-26.82,-73.16,	1.53,-4.82,-3.66	1.1346,	53.143056,-1.450687,	16:14:46:20
0.0201,-0.2546,0.9467,	-4.64,-27.00,-73.16,	1.34,-4.76,-3.60	1.1538,	53.143056,-1.450687,	16:14:46:30
0.0193,-0.2542,0.9474,	-4.73,-26.91,-73.37,	1.46,-4.82,-3.72	1.1635,	53.143056,-1.450687,	16:14:46:30
0.0192,-0.2542,0.9436,	-4.73,-26.91,-73.37,	1.46,-4.82,-3.66	1.1731,	53.143056,-1.450687,	16:14:46:40
0.0189,-0.2551,0.9493,	-4.73,-27.09,-73.16,	1.40,-4.82,-3.66	1.1827,	53.143056,-1.450687,	16:14:46:40
0.0203,-0.2535,0.9479,	-4.73,-27.09,-73.16,	1.53,-4.82,-3.66	1.1923,	53.143056,-1.450687,	16:14:46:40
0.0182,-0.2555,0.9545,	-4.82,-26.82,-73.16,	1.40,-4.76,-3.60	1.2019,	53.143056,-1.450687,	16:14:46:50
