0.0343,0.2965,0.8739,		-4.88,6.29,-4.39,	4.8846,		53.230169,-1.480938,	15:14:17:80
0.0471,0.2927,0.9292,		-5.55,4.27,-1.95,	4.8942,		53.230169,-1.480940,	15:14:18:0
0.0469,0.3044,0.9794,		-5.37,2.20,-0.12,	4.9038,		53.230169,-1.480940,	15:14:18:0
0.0477,0.3170,0.9999,		-6.77,0.24,1.46,	4.9135,		53.230169,-1.480940,	15:14:18:0
0.0503,0.3134,1.0305,		-7.69,-2.26,2.69,	4.9231,		53.230169,-1.480940,	15:14:18:0
0.0682,0.2828,1.0372,		-2.50,-4.39,1.40,	4.9327,		53.230169,-1.480940,	15:14:18:0
0.0559,0.2843,1.0308,		0.61,-3.66,-4.15,	4.9423,		53.230169,-1.480940,	15:14:18:0
0.0422,0.2552,1.0785,		3.48,-5.74,-8.00,	4.9519,		53.230169,-1.480941,	15:14:18:20
0.0317,0.2620,1.1036,		1.10,-13.67,-5.43,	4.9615,		53.230169,-1.480941,	15:14:18:20
0.0848,0.3386,1.0796,		-1.10,-14.95,1.53,	4.9712,		53.230169,-1.480941,	15:14:18:20
0.0732,0.1873,1.1405,		4.27,1.83,17.09,	4.9808,		53.230169,-1.480941,	15:14:18:20
0.1050,0.2346,1.0923,		11.60,6.04,4.70,	4.9904,		53.230169,-1.480941,	15:14:18:20
0.0745,0.2214,1.0166,		-7.32,12.76,-2.56,	5.0000,		53.230168,-1.480943,	15:14:18:40
0.0977,0.1514,1.0413,		-7.93,10.44,15.44,	5.0096,		53.230168,-1.480943,	15:14:18:40
0.0674,0.1763,0.9308,		-2.75,16.11,14.89,	5.0192,		53.230168,-1.480943,	15:14:18:40
0.0347,0.1685,0.8842,		-11.29,33.02,29.17,	5.0288,		53.230168,-1.480943,	15:14:18:40
0.0482,0.1827,0.8137,		-4.03,35.83,37.96,	5.0385,		53.230168,-1.480943,	15:14:18:40
0.0110,0.2152,0.7778,		-9.03,36.38,39.61,	5.0481,		53.230167,-1.480943,	15:14:18:60
0.0127,0.2130,0.8728,		-30.21,34.00,49.99,	5.0577,		53.230167,-1.480943,	15:14:18:60
0.0480,0.1921,0.9288,		-27.40,28.32,69.82,	5.0673,		53.230167,-1.480943,	15:14:18:60
0.0929,0.1517,0.9443,		-12.27,28.87,83.13,	5.0769,		53.230167,-1.480943,	15:14:18:60
0.0876,0.1566,0.9454,		-10.07,40.41,95.34,	5.0865,		53.230167,-1.480943,	15:14:18:60
0.0790,0.1396,0.9532,		-4.39,48.46,109.07,	5.0962,		53.230167,-1.480943,	15:14:18:60
0.0989,0.1366,0.9296,		-11.78,52.25,119.51,	5.1058,		53.230167,-1.480943,	15:14:18:80
0.0747,0.1554,0.9307,		-21.67,58.11,128.91,	5.1154,		53.230167,-1.480943,	15:14:18:80
0.0238,0.1871,0.9943,		-46.45,59.69,142.15,	5.1250,		53.230167,-1.480943,	15:14:18:80
0.0312,0.1736,1.1127,		-61.89,30.40,172.12,	5.1346,		53.230167,-1.480943,	15:14:18:80
0.1062,0.0984,1.0924,		-53.77,13.37,186.83,	5.1442,		53.230167,-1.480943,	15:14:18:80
0.0977,0.1305,1.0278,		-36.25,11.60,182.25,	5.1538,		53.230167,-1.480943,	15:14:18:80
0.0693,0.1812,1.0134,		-34.12,7.08,181.21,	5.1635,		53.230168,-1.480941,	15:14:19:0
