0.01,-0.05,1.00,		2.08,-2.87,-3.72,		0.000000,0.000000,			17:25:49:10
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:49:10
0.01,-0.05,1.00,		2.01,-2.81,-3.66,		0.000000,0.000000,			17:25:56:0
0.01,-0.06,1.00,		2.08,-2.99,-3.60,		0.000000,0.000000,			17:25:56:20
0.01,-0.05,1.00,		2.14,-2.87,-3.66,		0.000000,0.000000,			17:25:56:20
0.01,-0.05,1.00,		2.08,-2.81,-3.66,		0.000000,0.000000,			17:25:56:20
0.01,-0.05,1.00,		2.14,-2.75,-3.66,		0.000000,0.000000,			17:25:56:20
0.01,-0.05,1.00,		2.01,-2.87,-3.60,		0.000000,0.000000,			17:25:56:20
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:56:30
0.01,-0.05,1.00,		2.08,-2.87,-3.60,		0.000000,0.000000,			17:25:56:30
0.01,-0.05,1.00,		2.08,-2.87,-3.54,		0.000000,0.000000,			17:25:56:30
0.01,-0.05,1.00,		2.14,-2.93,-3.60,		0.000000,0.000000,			17:25:56:30
0.01,-0.06,1.00,		2.08,-2.81,-3.60,		0.000000,0.000000,			17:25:56:50
0.01,-0.05,1.00,		2.01,-2.87,-3.66,		0.000000,0.000000,			17:25:56:50
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:56:60
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:56:60
0.01,-0.05,1.00,		2.01,-2.87,-3.66,		0.000000,0.000000,			17:25:56:60
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:56:70
0.01,-0.06,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:56:70
0.01,-0.06,1.00,		2.01,-2.81,-3.66,		0.000000,0.000000,			17:25:56:70
0.01,-0.05,1.00,		2.01,-2.81,-3.60,		0.000000,0.000000,			17:25:56:80
0.01,-0.05,1.00,		2.01,-2.81,-3.66,		0.000000,0.000000,			17:25:56:80
0.01,-0.05,1.00,		2.08,-2.81,-3.60,		0.000000,0.000000,			17:25:56:80
0.01,-0.05,1.00,		2.14,-2.87,-3.72,		0.000000,0.000000,			17:25:56:90
0.01,-0.05,1.00,		2.01,-2.93,-3.60,		0.000000,0.000000,			17:25:56:90
0.01,-0.05,1.00,		2.14,-2.87,-3.66,		0.000000,0.000000,			17:25:56:90
0.01,-0.04,1.00,		2.01,-2.81,-3.66,		0.000000,0.000000,			17:25:57:0
0.01,-0.06,1.00,		2.01,-2.81,-3.66,		0.000000,0.000000,			17:25:57:0
0.01,-0.05,1.00,		2.08,-2.81,-3.60,		0.000000,0.000000,			17:25:57:0
0.01,-0.05,1.00,		2.08,-2.81,-3.66,		0.000000,0.000000,			17:25:57:10
0.01,-0.05,1.00,		2.08,-2.81,-3.66,		0.000000,0.000000,			17:25:57:10
0.01,-0.05,1.00,		2.08,-2.81,-3.66,		0.000000,0.000000,			17:25:57:10
0.01,-0.05,1.00,		2.08,-2.81,-3.66,		0.000000,0.000000,			17:25:57:20
0.01,-0.05,1.00,		2.14,-2.81,-3.72,		0.000000,0.000000,			17:25:57:20
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:57:20
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:57:30
0.01,-0.06,1.00,		2.14,-2.87,-3.66,		0.000000,0.000000,			17:25:57:30
0.01,-0.05,1.00,		2.01,-2.87,-3.66,		0.000000,0.000000,			17:25:57:30
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:57:40
0.01,-0.05,1.00,		2.14,-2.87,-3.60,		0.000000,0.000000,			17:25:57:40
0.01,-0.05,1.00,		2.08,-2.87,-3.72,		0.000000,0.000000,			17:25:57:40
0.01,-0.05,1.00,		2.08,-2.87,-3.60,		0.000000,0.000000,			17:25:57:50
0.01,-0.05,1.00,		2.08,-2.93,-3.66,		0.000000,0.000000,			17:25:57:60
0.01,-0.05,1.00,		2.08,-2.87,-3.72,		0.000000,0.000000,			17:25:57:60
0.01,-0.05,1.00,		2.14,-2.81,-3.60,		0.000000,0.000000,			17:25:57:60
0.01,-0.05,1.00,		2.08,-2.87,-3.72,		0.000000,0.000000,			17:25:57:70
0.01,-0.05,1.00,		2.08,-2.93,-3.66,		0.000000,0.000000,			17:25:57:70
0.01,-0.06,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:57:80
0.01,-0.06,1.00,		2.08,-2.81,-3.60,		0.000000,0.000000,			17:25:57:80
0.01,-0.06,1.00,		2.08,-2.93,-3.66,		0.000000,0.000000,			17:25:57:80
0.01,-0.05,1.00,		2.14,-2.81,-3.66,		0.000000,0.000000,			17:25:57:90
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:57:90
0.01,-0.05,1.00,		2.08,-2.87,-3.60,		0.000000,0.000000,			17:25:57:90
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:58:0
0.01,-0.05,1.00,		2.08,-2.93,-3.60,		0.000000,0.000000,			17:25:58:0
0.01,-0.05,1.00,		2.08,-2.81,-3.66,		0.000000,0.000000,			17:25:58:0
0.01,-0.06,1.00,		2.14,-2.93,-3.66,		0.000000,0.000000,			17:25:58:10
0.01,-0.06,1.00,		2.14,-2.87,-3.66,		0.000000,0.000000,			17:25:58:10
0.01,-0.05,1.00,		2.08,-2.87,-3.60,		0.000000,0.000000,			17:25:58:10
0.01,-0.05,1.00,		2.08,-2.87,-3.72,		0.000000,0.000000,			17:25:58:20
0.01,-0.05,1.00,		2.08,-2.87,-3.72,		0.000000,0.000000,			17:25:58:20
0.01,-0.05,1.00,		2.08,-2.81,-3.66,		0.000000,0.000000,			17:25:58:20
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:58:30
0.01,-0.05,1.00,		2.08,-2.93,-3.72,		0.000000,0.000000,			17:25:58:30
0.01,-0.05,1.00,		2.14,-2.87,-3.66,		0.000000,0.000000,			17:25:58:30
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:58:40
0.01,-0.05,1.00,		2.08,-2.87,-3.72,		0.000000,0.000000,			17:25:58:40
0.01,-0.05,1.00,		2.14,-2.87,-3.72,		0.000000,0.000000,			17:25:58:40
0.01,-0.05,1.00,		2.14,-2.93,-3.60,		0.000000,0.000000,			17:25:58:50
0.01,-0.05,1.00,		2.08,-2.87,-3.72,		0.000000,0.000000,			17:25:58:50
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:58:50
0.01,-0.06,1.00,		2.08,-2.93,-3.66,		0.000000,0.000000,			17:25:58:60
0.01,-0.05,1.00,		2.08,-2.87,-3.72,		0.000000,0.000000,			17:25:58:60
0.01,-0.05,1.00,		2.14,-2.93,-3.72,		0.000000,0.000000,			17:25:58:60
0.01,-0.05,1.00,		2.14,-2.81,-3.60,		0.000000,0.000000,			17:25:58:70
0.01,-0.05,1.00,		2.01,-2.87,-3.66,		0.000000,0.000000,			17:25:58:70
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:58:70
0.01,-0.05,1.00,		2.20,-2.81,-3.66,		0.000000,0.000000,			17:25:58:80
0.01,-0.06,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:58:80
0.01,-0.05,1.00,		2.14,-2.93,-3.54,		0.000000,0.000000,			17:25:58:80
0.01,-0.05,1.00,		2.08,-2.81,-3.66,		0.000000,0.000000,			17:25:58:90
0.01,-0.05,1.00,		2.08,-2.81,-3.66,		0.000000,0.000000,			17:25:58:90
0.01,-0.05,1.00,		2.08,-2.81,-3.60,		0.000000,0.000000,			17:25:58:90
0.01,-0.05,1.00,		2.01,-2.93,-3.60,		0.000000,0.000000,			17:25:59:0
0.01,-0.05,1.00,		2.08,-2.81,-3.72,		0.000000,0.000000,			17:25:59:0
0.01,-0.05,1.00,		2.08,-2.81,-3.66,		0.000000,0.000000,			17:25:59:0
0.01,-0.05,1.00,		2.08,-2.75,-3.66,		0.000000,0.000000,			17:25:59:10
0.01,-0.05,1.00,		2.14,-2.81,-3.66,		0.000000,0.000000,			17:25:59:10
0.01,-0.05,1.00,		2.01,-2.87,-3.66,		0.000000,0.000000,			17:25:59:10
0.01,-0.05,1.00,		2.08,-2.93,-3.66,		0.000000,0.000000,			17:25:59:20
0.01,-0.05,1.00,		2.08,-2.87,-3.60,		0.000000,0.000000,			17:25:59:20
0.01,-0.05,1.00,		2.08,-2.93,-3.66,		0.000000,0.000000,			17:25:59:20
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:59:30
0.01,-0.05,1.00,		2.08,-2.87,-3.60,		0.000000,0.000000,			17:25:59:30
0.01,-0.05,1.00,		2.08,-2.81,-3.60,		0.000000,0.000000,			17:25:59:30
0.01,-0.05,1.00,		2.08,-2.81,-3.66,		0.000000,0.000000,			17:25:59:40
0.01,-0.05,1.00,		2.01,-2.93,-3.72,		0.000000,0.000000,			17:25:59:40
0.01,-0.05,1.00,		2.08,-2.93,-3.60,		0.000000,0.000000,			17:25:59:40
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:59:50
0.01,-0.05,1.00,		2.01,-2.87,-3.60,		0.000000,0.000000,			17:25:59:50
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:59:50
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:59:60
0.01,-0.05,1.00,		2.14,-2.87,-3.60,		0.000000,0.000000,			17:25:59:60
0.01,-0.05,1.00,		2.01,-2.87,-3.66,		0.000000,0.000000,			17:25:59:70
0.01,-0.05,1.00,		2.14,-2.87,-3.72,		0.000000,0.000000,			17:25:59:70
0.01,-0.05,1.00,		2.08,-2.87,-3.60,		0.000000,0.000000,			17:25:59:70
0.01,-0.05,1.00,		2.01,-2.93,-3.66,		0.000000,0.000000,			17:25:59:80
0.01,-0.05,1.00,		2.08,-2.81,-3.60,		0.000000,0.000000,			17:25:59:80
0.01,-0.05,1.00,		2.08,-2.75,-3.66,		0.000000,0.000000,			17:25:59:80
0.01,-0.05,1.00,		2.08,-2.93,-3.66,		0.000000,0.000000,			17:25:59:90
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:59:90
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:25:59:90
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:26:0:0
0.01,-0.05,1.00,		2.08,-2.87,-3.60,		0.000000,0.000000,			17:26:0:0
0.01,-0.05,1.00,		2.08,-2.81,-3.60,		0.000000,0.000000,			17:26:0:0
0.01,-0.05,1.00,		2.08,-2.81,-3.60,		0.000000,0.000000,			17:26:0:10
0.01,-0.06,1.00,		2.08,-2.87,-3.60,		0.000000,0.000000,			17:26:0:10
0.01,-0.06,1.00,		2.08,-2.93,-3.66,		0.000000,0.000000,			17:26:0:10
0.01,-0.05,1.00,		2.01,-2.81,-3.66,		0.000000,0.000000,			17:26:0:20
0.01,-0.05,1.00,		2.20,-2.93,-3.54,		0.000000,0.000000,			17:26:0:20
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:26:0:20
0.01,-0.05,1.00,		2.08,-2.87,-3.66,		0.000000,0.000000,			17:26:0:30
0.01,-0.05,1.00,		2.08,-2.81,-3.60,		0.000000,0.000000,			17:26:0:30
0.01,-0.05,1.00,		2.08,-2.93,-3.72,		0.000000,0.000000,			17:26:0:30
0.01,-0.05,1.00,		2.08,-2.81,-3.60,		0.000000,0.000000,			17:26:0:40
0.01,-0.05,1.00,		2.01,-2.81,-3.66,		0.000000,0.000000,			17:26:0:40
0.01,-0.05,1.00,		2.14,-2.93,-3.60,		0.000000,0.000000,			17:26:0:40
0.01,-0.05,1.00,		2.01,-2.75,-3.66,		0.000000,0.000000,			17:26:0:50
0.01,-0.05,1.00,		2.14,-2.93,-3.66,		0.000000,0.000000,			17:26:0:50
