-0.1555,0.0010,0.9786,	0.55,-4.39,-2.50,	18.5481		0.000000,0.000000,	15:29:59:0
-0.1552,0.0010,0.9791,	0.55,-4.39,-2.50,	18.5577		0.000000,0.000000,	15:29:59:0
-0.1552,0.0012,0.9808,	0.55,-4.46,-2.50,	18.5673		0.000000,0.000000,	15:29:59:0
-0.1576,0.0004,0.9792,	0.55,-4.39,-2.56,	18.5769		0.000000,0.000000,	15:29:59:0
-0.1562,0.0009,0.9800,	0.55,-4.46,-2.56,	18.5865		0.000000,0.000000,	15:29:59:0
-0.1567,0.0007,0.9811,	0.55,-4.39,-2.56,	18.5962		0.000000,0.000000,	15:29:59:0
-0.1564,0.0002,0.9813,	0.55,-4.39,-2.56,	18.6058		0.000000,0.000000,	15:29:59:20
-0.1561,0.0006,0.9799,	0.49,-4.39,-2.56,	18.6154		0.000000,0.000000,	15:29:59:20
-0.1564,0.0009,0.9786,	0.55,-4.39,-2.56,	18.6250		0.000000,0.000000,	15:29:59:20
-0.1555,0.0012,0.9783,	0.55,-4.46,-2.50,	18.6346		0.000000,0.000000,	15:29:59:20
-0.1554,-0.0002,0.9788,	0.55,-4.39,-2.56,	18.6442		0.000000,0.000000,	15:29:59:20
-0.1553,0.0011,0.9789,	0.55,-4.46,-2.56,	18.6538		0.000000,0.000000,	15:29:59:40
-0.1569,0.0000,0.9792,	0.61,-4.39,-2.62,	18.6635		0.000000,0.000000,	15:29:59:40
-0.1555,0.0010,0.9797,	0.55,-4.46,-2.56,	18.6731		0.000000,0.000000,	15:29:59:40
-0.1558,0.0006,0.9795,	0.49,-4.39,-2.50,	18.6827		0.000000,0.000000,	15:29:59:40
-0.1558,0.0000,0.9789,	0.55,-4.46,-2.50,	18.6923		0.000000,0.000000,	15:29:59:60
-0.1578,0.0007,0.9786,	0.55,-4.46,-2.50,	18.7019		0.000000,0.000000,	15:29:59:60
-0.1561,-0.0004,0.9794,	0.55,-4.46,-2.50,	18.7115		0.000000,0.000000,	15:29:59:60
-0.1576,0.0005,0.9807,	0.49,-4.46,-2.50,	18.7212		0.000000,0.000000,	15:29:59:60
-0.1553,0.0010,0.9763,	0.61,-4.39,-2.56,	18.7308		0.000000,0.000000,	15:29:59:60
-0.1556,0.0010,0.9786,	0.55,-4.46,-2.56,	18.7404		0.000000,0.000000,	15:29:59:60
-0.1571,-0.0009,0.9784,	0.55,-4.39,-2.44,	18.7500		0.000000,0.000000,	15:29:59:80
-0.1553,-0.0005,0.9781,	0.55,-4.33,-2.50,	18.7596		0.000000,0.000000,	15:29:59:80
-0.1553,0.0006,0.9796,	0.55,-4.39,-2.50,	18.7692		0.000000,0.000000,	15:29:59:80
-0.1567,-0.0006,0.9799,	0.55,-4.39,-2.50,	18.7788		0.000000,0.000000,	15:29:59:80
-0.1550,0.0010,0.9791,	0.49,-4.39,-2.56,	18.7885		0.000000,0.000000,	15:29:59:80
-0.1561,0.0001,0.9796,	0.49,-4.39,-2.56,	18.7981		0.000000,0.000000,	15:29:59:80
-0.1556,0.0004,0.9790,	0.49,-4.39,-2.56,	18.8077		0.000000,0.000000,	15:30:0:0
-0.1556,0.0010,0.9789,	0.49,-4.39,-2.62,	18.8173		0.000000,0.000000,	15:30:0:0
-0.1552,0.0005,0.9790,	0.55,-4.39,-2.56,	18.8269		0.000000,0.000000,	15:30:0:0
-0.1569,0.0004,0.9799,	0.55,-4.39,-2.50,	18.8365		0.000000,0.000000,	15:30:0:0
-0.1571,0.0005,0.9788,	0.61,-4.39,-2.50,	18.8462		0.000000,0.000000,	15:30:0:0
-0.1556,-0.0004,0.9819,	0.55,-4.46,-2.56,	18.8558		0.000000,0.000000,	15:30:0:0
-0.1550,0.0006,0.9794,	0.55,-4.39,-2.44,	18.8654		0.000000,0.000000,	15:30:0:20
-0.1564,0.0016,0.9791,	0.55,-4.46,-2.62,	18.8750		0.000000,0.000000,	15:30:0:20
-0.1570,0.0010,0.9810,	0.55,-4.46,-2.50,	18.8846		0.000000,0.000000,	15:30:0:20
-0.1559,0.0001,0.9805,	0.49,-4.39,-2.50,	18.8942		0.000000,0.000000,	15:30:0:20
-0.1569,0.0001,0.9795,	0.55,-4.33,-2.50,	18.9038		0.000000,0.000000,	15:30:0:20
-0.1558,0.0005,0.9794,	0.49,-4.39,-2.62,	18.9135		0.000000,0.000000,	15:30:0:20
-0.1564,0.0007,0.9807,	0.49,-4.33,-2.50,	18.9231		0.000000,0.000000,	15:30:0:40
-0.1565,0.0013,0.9791,	0.49,-4.46,-2.50,	18.9327		0.000000,0.000000,	15:30:0:40
-0.1572,0.0009,0.9789,	0.49,-4.39,-2.50,	18.9423		0.000000,0.000000,	15:30:0:40
-0.1549,0.0012,0.9780,	0.55,-4.39,-2.56,	18.9519		0.000000,0.000000,	15:30:0:40
-0.1567,0.0001,0.9800,	0.49,-4.33,-2.62,	18.9615		0.000000,0.000000,	15:30:0:40
-0.1556,0.0017,0.9791,	0.55,-4.46,-2.56,	18.9712		0.000000,0.000000,	15:30:0:40
-0.1560,0.0000,0.9799,	0.55,-4.39,-2.56,	18.9808		0.000000,0.000000,	15:30:0:60
-0.1569,0.0001,0.9808,	0.55,-4.46,-2.56,	18.9904		0.000000,0.000000,	15:30:0:60
-0.1558,0.0011,0.9807,	0.61,-4.39,-2.56,	19.0000		0.000000,0.000000,	15:30:0:60
-0.1569,0.0004,0.9785,	0.55,-4.39,-2.56,	19.0096		0.000000,0.000000,	15:30:0:60
-0.1560,0.0005,0.9802,	0.49,-4.39,-2.56,	19.0192		0.000000,0.000000,	15:30:0:60
-0.1559,0.0006,0.9811,	0.55,-4.39,-2.56,	19.0288		0.000000,0.000000,	15:30:0:80
-0.1565,0.0000,0.9800,	0.55,-4.46,-2.50,	19.0385		0.000000,0.000000,	15:30:0:80
-0.1561,0.0000,0.9799,	0.55,-4.39,-2.56,	19.0481		0.000000,0.000000,	15:30:0:80
-0.1566,0.0010,0.9811,	0.67,-4.39,-2.50,	19.0577		0.000000,0.000000,	15:30:0:80
-0.1554,-0.0012,0.9795,	0.55,-4.39,-2.56,	19.0673		0.000000,0.000000,	15:30:0:80
-0.1555,0.0010,0.9808,	0.55,-4.39,-2.56,	19.0769		0.000000,0.000000,	15:30:1:0
-0.1565,-0.0002,0.9805,	0.61,-4.39,-2.56,	19.0865		0.000000,0.000000,	15:30:1:0
-0.1561,0.0010,0.9790,	0.49,-4.39,-2.56,	19.0962		0.000000,0.000000,	15:30:1:0
-0.1576,0.0001,0.9786,	0.55,-4.46,-2.56,	19.1058		0.000000,0.000000,	15:30:1:0
-0.1569,-0.0002,0.9813,	0.49,-4.39,-2.56,	19.1154		0.000000,0.000000,	15:30:1:0
-0.1554,0.0001,0.9797,	0.55,-4.39,-2.56,	19.1250		0.000000,0.000000,	15:30:1:0
-0.1562,0.0007,0.9796,	0.55,-4.46,-2.56,	19.1346		0.000000,0.000000,	15:30:1:20
-0.1552,0.0023,0.9780,	0.55,-4.39,-2.50,	19.1442		0.000000,0.000000,	15:30:1:20
-0.1564,0.0000,0.9796,	0.55,-4.39,-2.44,	19.1538		0.000000,0.000000,	15:30:1:20
-0.1559,0.0024,0.9811,	0.55,-4.39,-2.50,	19.1635		0.000000,0.000000,	15:30:1:20
-0.1553,0.0015,0.9803,	0.49,-4.33,-2.56,	19.1731		0.000000,0.000000,	15:30:1:20
-0.1589,0.0000,0.9786,	0.49,-4.39,-2.56,	19.1827		0.000000,0.000000,	15:30:1:20
-0.1559,0.0009,0.9800,	0.55,-4.46,-2.56,	19.1923		0.000000,0.000000,	15:30:1:20
-0.1556,0.0011,0.9797,	0.55,-4.39,-2.56,	19.2019		0.000000,0.000000,	15:30:1:40
-0.1577,0.0009,0.9791,	0.61,-4.39,-2.50,	19.2115		0.000000,0.000000,	15:30:1:40
-0.1558,0.0002,0.9791,	0.55,-4.33,-2.56,	19.2212		0.000000,0.000000,	15:30:1:40
-0.1566,0.0007,0.9800,	0.61,-4.39,-2.56,	19.2308		0.000000,0.000000,	15:30:1:40
-0.1580,0.0010,0.9806,	0.55,-4.46,-2.50,	19.2404		0.000000,0.000000,	15:30:1:40
-0.1558,0.0004,0.9803,	0.49,-4.39,-2.50,	19.2500		0.000000,0.000000,	15:30:1:60
-0.1571,-0.0004,0.9797,	0.55,-4.46,-2.56,	19.2596		0.000000,0.000000,	15:30:1:60
-0.1577,0.0016,0.9801,	0.55,-4.39,-2.50,	19.2692		0.000000,0.000000,	15:30:1:60
-0.1562,0.0005,0.9786,	0.61,-4.39,-2.56,	19.2788		0.000000,0.000000,	15:30:1:60
-0.1566,-0.0010,0.9795,	0.55,-4.46,-2.50,	19.2885		0.000000,0.000000,	15:30:1:60
-0.1545,0.0018,0.9802,	0.61,-4.39,-2.56,	19.2981		0.000000,0.000000,	15:30:1:60
-0.1564,0.0004,0.9806,	0.61,-4.46,-2.56,	19.3077		0.000000,0.000000,	15:30:1:80
-0.1556,-0.0002,0.9794,	0.55,-4.39,-2.44,	19.3173		0.000000,0.000000,	15:30:1:80
-0.1566,-0.0001,0.9805,	0.55,-4.46,-2.50,	19.3269		0.000000,0.000000,	15:30:1:80
-0.1554,0.0007,0.9812,	0.61,-4.33,-2.50,	19.3365		0.000000,0.000000,	15:30:1:80
-0.1571,0.0002,0.9796,	0.55,-4.39,-2.50,	19.3462		0.000000,0.000000,	15:30:1:80
-0.1560,0.0001,0.9806,	0.61,-4.52,-2.50,	19.3558		0.000000,0.000000,	15:30:1:80
-0.1567,-0.0004,0.9810,	0.61,-4.39,-2.56,	19.3654		0.000000,0.000000,	15:30:2:0
-0.1564,0.0009,0.9802,	0.49,-4.39,-2.50,	19.3750		0.000000,0.000000,	15:30:2:0
-0.1547,0.0010,0.9780,	0.49,-4.33,-2.50,	19.3846		0.000000,0.000000,	15:30:2:0
-0.1573,-0.0005,0.9797,	0.61,-4.39,-2.50,	19.3942		0.000000,0.000000,	15:30:2:0
-0.1571,0.0011,0.9796,	0.49,-4.39,-2.56,	19.4038		0.000000,0.000000,	15:30:2:0
-0.1558,0.0004,0.9800,	0.55,-4.46,-2.50,	19.4135		0.000000,0.000000,	15:30:2:0
-0.1564,0.0005,0.9808,	0.55,-4.39,-2.56,	19.4231		0.000000,0.000000,	15:30:2:20
-0.1559,0.0005,0.9796,	0.55,-4.39,-2.62,	19.4327		0.000000,0.000000,	15:30:2:20
